EXCEL BEGINNER QUIZ - LESSONS 1-3,,,
"Hey Aryan! Time to test what you've learned!",,,
"Don't worry - you've got this! Take your time and have fun!",,,
,,,
INSTRUCTIONS,,,
"- Answer all 15 questions below",,,
"- Multiple choice: Write the letter (A, B, C, or D)",,,
"- Fill-in-blank: Write the formula or answer",,,
"- Check your answers at the bottom (no peeking!)",,,
"- Each question is worth points as shown",,,
,,,
===== SECTION 1: BASIC FORMULAS (Lesson 1) =====,,,
,,,
Q#,Question,Type,Points
1,"What formula adds up all values in cells A1 through A10? (Hint: It's not =A1+A2+A3... because ain't nobody got time for that!)","Fill-in-blank",5
,Your Answer:,,
,,,
2,"Which of these is the CORRECT way to write a formula in Excel?",Multiple Choice,5
,"A) SUM(A1:A10)",,,
,"B) =SUM(A1:A10)",,,
,"C) =SUM A1:A10",,,
,"D) @SUM(A1:A10)",,,
,Your Answer:,,
,,,
3,"If A1=10, A2=20, A3=30, what does =AVERAGE(A1:A3) return?","Fill-in-blank",5
,"(Math time! You can do it, Aryan!)",,,
,Your Answer:,,
,,,
4,"What does =MAX(5, 10, 3, 8) return?",Multiple Choice,5
,"A) 5 (the first number)",,,
,"B) 3 (the smallest)",,,
,"C) 10 (the biggest boss)",,,
,"D) 26 (the sum)",,,
,Your Answer:,,
,,,
5,"You have sales data in B2:B100. Which formula counts how many cells have numbers?","Fill-in-blank",5
,"(Hint: It's not =COUNT-SHEEP though that would be more relaxing)",,,
,Your Answer:,,
,,,
===== SECTION 2: IF STATEMENTS (Lesson 2) =====,,,
,,,
6,"Complete this IF formula: =IF(A1>100, ___, ___) to show 'Big' if true, 'Small' if false","Fill-in-blank",10
,Your Answer:,,
,,,
7,"What does this formula return if B1=75? =IF(B1>=60, 'Pass', 'Fail')",Multiple Choice,5
,"A) Pass (Yay!)",,,
,"B) Fail (Oh no!)",,,
,"C) 75",,,
,"D) Error (Excel is confused)",,,
,Your Answer:,,
,,,
8,"Which operator means 'not equal to' in Excel?",Multiple Choice,5
,"A) !=",,,
,"B) <>",,,
,"C) =/=",,,
,"D) NOT=",,,
,Your Answer:,,
,,,
9,"Write a nested IF: If score>=90 show 'A', if score>=80 show 'B', else show 'C'. Score is in cell D1.","Fill-in-blank",10
,"(This is a tough one! Take your time, superstar!)",,,
,Your Answer:,,
,,,
10,"What's wrong with this formula? =IF(A1>10 'Yes' 'No')",Multiple Choice,5
,"A) Nothing, it's perfect",,,
,"B) Missing commas between arguments",,,
,"C) 'Yes' and 'No' don't need quotes",,,
,"D) Should use IF() not IF",,,
,Your Answer:,,
,,,
===== SECTION 3: VLOOKUP MAGIC (Lesson 3) =====,,,
,,,
11,"In =VLOOKUP(lookup_value, table_array, col_index_num, [range_lookup]), what does col_index_num mean?",Multiple Choice,5
,"A) The row number to look in",,,
,"B) Which column to return the value from",,,
,"C) How many columns in the table",,,
,"D) The column where lookup_value is",,,
,Your Answer:,,
,,,
12,"You're looking up employee ID 'E001' in table A1:D100. You want their salary from column 4. Write the VLOOKUP.","Fill-in-blank",10
,"(Remember: VLOOKUP is like asking Excel to be your personal assistant!)",,,
,Your Answer:,,
,,,
13,"What does FALSE (or 0) mean in the last argument of VLOOKUP?",Multiple Choice,5
,"A) The formula won't work",,,
,"B) Approximate match (close enough!)",,,
,"C) Exact match (must be precise!)",,,
,"D) Case-sensitive search",,,
,Your Answer:,,
,,,
14,"Why might VLOOKUP return #N/A?",Multiple Choice,5
,"A) The lookup value doesn't exist in the table",,,
,"B) Your computer is tired",,,
,"C) Excel doesn't like you today",,,
,"D) The formula is too long",,,
,Your Answer:,,
,,,
15,"If your lookup column is NOT the first column of your data, what function might work better than VLOOKUP?","Fill-in-blank",10
,"(Hint: It's a combo move! Two functions working together!)",,,
,Your Answer:,,
,,,
===== TOTAL POINTS POSSIBLE: 100 =====,,,
,,,
"Great job completing the quiz, Aryan!",,,
"Now scroll down for answers... but only after you've tried everything!",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
===== ANSWER KEY (No peeking until you're done!) =====,,,
,,,
Q#,Correct Answer,Explanation,
1,"=SUM(A1:A10)","The SUM function adds up a range of cells",
2,B,"Formulas always start with = sign",
3,20,"(10+20+30)/3 = 60/3 = 20",
4,C,"MAX returns the largest value",
5,"=COUNT(B2:B100)","COUNT counts cells with numbers",
6,"""Big"", ""Small""","Text values go in quotes, separated by commas",
7,A,"75 is >= 60, so it's a Pass!",
8,B,"<> means not equal in Excel",
9,"=IF(D1>=90,""A"",IF(D1>=80,""B"",""C""))","Nested IFs check conditions in order",
10,B,"Arguments must be separated by commas",
11,B,"col_index_num tells VLOOKUP which column to return",
12,"=VLOOKUP(""E001"",A1:D100,4,FALSE)","Look up E001, return column 4, exact match",
13,C,"FALSE/0 means exact match required",
14,A,"#N/A means the value wasn't found",
15,"INDEX/MATCH or XLOOKUP","These can look up from any column!",
,,,
===== GRADING SCALE =====,,,
,,,
Score Range,Grade,Message,
90-100,A+,"AMAZING! You're an Excel superstar, Aryan!",
80-89,A,"Excellent work! You really know your stuff!",
70-79,B,"Great job! Just a bit more practice and you'll be perfect!",
60-69,C,"Good effort! Review the tricky parts and try again!",
50-59,D,"Keep going! Rome wasn't built in a day and neither are Excel skills!",
Below 50,Try Again,"No worries! Go back through the lessons and give it another shot. You've got this!",
,,,
"Remember Aryan: Every Excel expert was once a beginner!",,,
"Keep practicing and you'll be amazing!",,,
