EXCEL ADVANCED QUIZ - LESSONS 4-6,,,
"Welcome back, Aryan! Ready for the advanced challenge?",,,
"You've leveled up! Time to show off those skills!",,,
,,,
INSTRUCTIONS,,,
"- 15 questions covering Text/Date Functions, Data Analysis, and Charts",,,
"- Includes scenario-based questions (real-world situations!)",,,
"- Point values vary based on difficulty",,,
"- Answers are at the bottom (resist the temptation to peek!)",,,
,,,
===== SECTION 1: TEXT & DATE FUNCTIONS (Lesson 4) =====,,,
,,,
Q#,Question,Type,Points
1,"SCENARIO: You have full names in column A like 'Aryan Sharma'. Write a formula to extract just the first name.","Fill-in-blank",8
,"(Hint: You'll need LEFT and FIND to work together like a buddy cop movie!)",,,
,Your Answer:,,
,,,
2,"What does =TEXT(44927, 'MMMM DD, YYYY') display? (44927 is a date serial number)","Fill-in-blank",5
,"(Excel stores dates as numbers - nerdy but useful!)",,,
,Your Answer:,,
,,,
3,"You need to combine cell A1 (First Name) and B1 (Last Name) with a space between. Which formulas work?",Multiple Choice,5
,"A) =A1&' '&B1",,,
,"B) =CONCAT(A1,' ',B1)",,,
,"C) =CONCATENATE(A1,' ',B1)",,,
,"D) All of the above (Excel loves options!)",,,
,Your Answer:,,
,,,
4,"SCENARIO: Customer emails are in A1 like 'aryan@example.com'. Write a formula to extract just the domain (example.com).","Fill-in-blank",10
,"(Time to slice and dice that text!)",,,
,Your Answer:,,
,,,
5,"What does =DATEDIF(DATE(2020,1,1), DATE(2023,6,15), 'Y') return?",Multiple Choice,5
,"A) 3 (complete years)",,,
,"B) 1260 (days)",,,
,"C) 41 (months)",,,
,"D) Error (Excel can't do date math... just kidding, it can!)",,,
,Your Answer:,,
,,,
===== SECTION 2: DATA ANALYSIS (Lesson 5) =====,,,
,,,
6,"SCENARIO: You have sales data with Region in column A and Sales in column B. Write a SUMIF to total sales for 'North' region.","Fill-in-blank",8
,"(SUMIF: Because sometimes you only want SOME of the numbers!)",,,
,Your Answer:,,
,,,
7,"What's the difference between SUMIF and SUMIFS?",Multiple Choice,5
,"A) SUMIFS is the sequel (bigger and better!)",,,
,"B) SUMIF = one condition, SUMIFS = multiple conditions",,,
,"C) They're exactly the same",,,
,"D) SUMIFS only works on Tuesdays",,,
,Your Answer:,,
,,,
8,"SCENARIO: Count how many orders are over $500 in column C. Write the COUNTIF formula.","Fill-in-blank",8
,"(Counting with conditions - Excel's version of being picky!)",,,
,Your Answer:,,
,,,
9,"You're creating a PivotTable. Where should you put 'Product Category' if you want categories as row labels?",Multiple Choice,5
,"A) Values area",,,
,"B) Rows area",,,
,"C) Columns area",,,
,"D) Filters area",,,
,Your Answer:,,
,,,
10,"SCENARIO: You have a table with dates and want to calculate the average for dates in 2023 only. Which function combination would you use?","Fill-in-blank",8
,"(Hint: Average + IF = ?)",,,
,Your Answer:,,
,,,
===== SECTION 3: CHARTS & VISUALIZATION (Lesson 6) =====,,,
,,,
11,"You want to show the proportion of total sales by region. Which chart type is BEST?",Multiple Choice,5
,"A) Line chart (goes up and down like a rollercoaster)",,,
,"B) Pie chart (mmm, pie...)",,,
,"C) Scatter plot (connect the dots!)",,,
,"D) Bar chart",,,
,Your Answer:,,
,,,
12,"SCENARIO: You're tracking monthly revenue over 2 years. Which chart type best shows the trend over time?",Multiple Choice,5
,"A) Pie chart",,,
,"B) Line chart",,,
,"C) Pie chart again (I really like pie)",,,
,"D) Treemap",,,
,Your Answer:,,
,,,
13,"What does adding a 'trendline' to a chart help you do?",Multiple Choice,5
,"A) Make the chart look prettier",,,
,"B) Predict future values based on existing data",,,
,"C) Add more colors",,,
,"D) Nothing useful, it's just decoration",,,
,Your Answer:,,
,,,
14,"SCENARIO: Your chart title says 'Chart Title'. How do you change it to 'Q4 Sales Report'?","Fill-in-blank",8
,"(Two ways to do this - describe either one!)",,,
,Your Answer:,,
,,,
15,"You have both Revenue ($millions) and Units Sold (thousands). How do you display both on one chart when scales are very different?",Multiple Choice,10
,"A) Just make the chart really big",,,
,"B) Use a secondary axis for one of the series",,,
,"C) Convert everything to the same unit",,,
,"D) Create two separate charts (boring but safe)",,,
,Your Answer:,,
,,,
===== TOTAL POINTS POSSIBLE: 100 =====,,,
,,,
"Woohoo! You made it through the advanced quiz, Aryan!",,,
"That takes serious dedication. Scroll down when ready for answers!",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
===== ANSWER KEY =====,,,
,,,
Q#,Correct Answer,Explanation,
1,"=LEFT(A1,FIND("" "",A1)-1)","FIND locates the space, LEFT extracts characters before it",
2,"January 01, 2023","TEXT converts numbers to formatted text (44927 = Jan 1, 2023)",
3,D,"All three methods work for combining text!",
4,"=MID(A1,FIND(""@"",A1)+1,100) or =RIGHT(A1,LEN(A1)-FIND(""@"",A1))","Extract everything after the @ symbol",
5,A,"DATEDIF with 'Y' returns complete years between dates",
6,"=SUMIF(A:A,""North"",B:B)","Sum column B where column A equals 'North'",
7,B,"SUMIFS allows multiple criteria, SUMIF allows only one",
8,"=COUNTIF(C:C,"">500"")","Count cells greater than 500 (criteria in quotes!)",
9,B,"Row labels appear down the left side of the PivotTable",
10,"AVERAGEIF or AVERAGEIFS","Use AVERAGEIF to average only 2023 dates",
11,B,"Pie charts show parts of a whole (proportions)",
12,B,"Line charts are best for showing trends over time",
13,B,"Trendlines help visualize patterns and make predictions",
14,"Click on the title and type new text, OR right-click > Edit Text","You can directly edit chart elements by clicking them",
15,B,"Secondary axis allows two different scales on one chart",
,,,
===== GRADING SCALE =====,,,
,,,
Score Range,Grade,Message,
90-100,A+,"INCREDIBLE! You're basically an Excel wizard now, Aryan! Time to update that resume!",
80-89,A,"Fantastic work! You've mastered the advanced stuff!",
70-79,B,"Really impressive! Just polish up a few areas and you're golden!",
60-69,C,"Solid effort! The advanced topics are tricky - review and retry!",
50-59,D,"Good try! These are challenging concepts. Practice makes perfect!",
Below 50,Keep Learning,"Don't give up! Advanced Excel takes time. Review lessons 4-6 and try again!",
,,,
===== BONUS CHALLENGE =====,,,
"If you scored 90+ on both quizzes, try this:",,,
"Create a dashboard that tracks your quiz scores over time!",,,
"Use charts, conditional formatting, and formulas you've learned.",,,
,,,
"Aryan, you've come SO far in your Excel journey!",,,
"From basic formulas to advanced data analysis - that's amazing progress!",,,
"Keep practicing and you'll be helping others learn Excel soon!",,,
,,,
"Pro tip: The best way to learn is to USE Excel for real projects.",,,
"Track your expenses, create a workout log, or analyze your favorite data!",,,
