SMART SHOPPING COMPARISON - Find the Best Deals!,,,,,,,
"Hey Aryan! Never overpay again! Use this template to compare prices like a pro shopper!",,,,,,,
,,,,,,,
PRODUCT BEING COMPARED:,Wireless Earbuds,,,,,,
Date of Comparison:,15-Jan-2026,,,,,,
Budget Limit:,5000,,,,,,
,,,,,,,
PRICE COMPARISON TABLE,,,,,,,
Store/Website,Product Price,Rating (out of 5),Shipping Cost,Delivery Days,Total Cost,Is Best Deal?,Notes
Amazon,3499,4.5,0,2,=B11+D11,"=IF(F11=MIN($F$11:$F$16),""BEST DEAL!"","""")","Prime delivery, trusted seller"
Flipkart,3299,4.3,49,3,=B12+D12,"=IF(F12=MIN($F$11:$F$16),""BEST DEAL!"","""")","Big Billion Days price"
Croma,3999,4.2,0,5,=B13+D13,"=IF(F13=MIN($F$11:$F$16),""BEST DEAL!"","""")","In-store pickup available"
Reliance Digital,3799,4.4,99,4,=B14+D14,"=IF(F14=MIN($F$11:$F$16),""BEST DEAL!"","""")","Extended warranty offered"
Local Store,3600,4.0,0,0,=B15+D15,"=IF(F15=MIN($F$11:$F$16),""BEST DEAL!"","""")","Can test before buying"
Tata Cliq,3450,4.1,79,6,=B16+D16,"=IF(F16=MIN($F$11:$F$16),""BEST DEAL!"","""")","NeuPass discount available"
,,,,,,,
QUICK ANALYSIS,,,,,,,
,Description,Formula,Result,,,,
,Lowest Price:,=MIN(B11:B16),=MIN(B11:B16),,,,
,Highest Price:,=MAX(B11:B16),=MAX(B11:B16),,,,
,Price Difference:,=MAX(B11:B16)-MIN(B11:B16),=MAX(B11:B16)-MIN(B11:B16),,You could save this much!,,
,Average Price:,=AVERAGE(B11:B16),=AVERAGE(B11:B16),,,,
,Best Total Cost:,=MIN(F11:F16),=MIN(F11:F16),,,,
,Highest Rating:,=MAX(C11:C16),=MAX(C11:C16),,,,
,Fastest Delivery:,=MIN(E11:E16),=MIN(E11:E16),days,,,
,,,,,,,
WITHIN BUDGET CHECK,,,,,,,
Budget:,=C6,,,,,,,
Best Deal Cost:,=MIN(F11:F16),,,,,,,
Under Budget?,"=IF(B29<=B28,""YES! Go for it!"",""Oops! Over budget"")","Formula: =IF(B29<=B28,""YES!"",""Over budget"")",,,,,
Money Left:,=B28-B29,,,,,,,
,,,,,,,
SMART BUYER SCORE,,,,,,,
Store,Price Score,Rating Score,Speed Score,Total Score,,,
Amazon,=100-((B11-MIN($B$11:$B$16))/(MAX($B$11:$B$16)-MIN($B$11:$B$16))*100),=C11/5*100,=100-((E11/MAX($E$11:$E$16))*100),=AVERAGE(B35:D35),,,
Flipkart,=100-((B12-MIN($B$11:$B$16))/(MAX($B$11:$B$16)-MIN($B$11:$B$16))*100),=C12/5*100,=100-((E12/MAX($E$11:$E$16))*100),=AVERAGE(B36:D36),,,
Croma,=100-((B13-MIN($B$11:$B$16))/(MAX($B$11:$B$16)-MIN($B$11:$B$16))*100),=C13/5*100,=100-((E13/MAX($E$11:$E$16))*100),=AVERAGE(B37:D37),,,
Reliance Digital,=100-((B14-MIN($B$11:$B$16))/(MAX($B$11:$B$16)-MIN($B$11:$B$16))*100),=C14/5*100,=100-((E14/MAX($E$11:$E$16))*100),=AVERAGE(B38:D38),,,
Local Store,=100-((B15-MIN($B$11:$B$16))/(MAX($B$11:$B$16)-MIN($B$11:$B$16))*100),=C15/5*100,=100-((E15/MAX($E$11:$E$16))*100),=AVERAGE(B39:D39),,,
Tata Cliq,=100-((B16-MIN($B$11:$B$16))/(MAX($B$11:$B$16)-MIN($B$11:$B$16))*100),=C16/5*100,=100-((E16/MAX($E$11:$E$16))*100),=AVERAGE(B40:D40),,,
,,,,,,,
WINNER:,=INDEX(A35:A40,MATCH(MAX(E35:E40),E35:E40,0)),"Formula: =INDEX(A35:A40,MATCH(MAX(E35:E40),E35:E40,0))",,,,,
,,,,,,,
FORMULA CHEAT SHEET FOR ARYAN,,,,,,,
,,,,,,,
"1. MIN - Finds lowest value: =MIN(B11:B16) finds cheapest price",,,,,,,
"2. MAX - Finds highest value: =MAX(C11:C16) finds best rating",,,,,,,
"3. IF with MIN - Best deal finder: =IF(F11=MIN($F$11:$F$16),""BEST DEAL!"","""")",,,,,,,
"   This checks if this row's total equals the minimum total",,,,,,,
"4. AVERAGE - Calculate average: =AVERAGE(B11:B16) for average price",,,,,,,
"5. INDEX-MATCH combo - Advanced! Finds the store name of the winner",,,,,,,
"   =INDEX(A35:A40,MATCH(MAX(E35:E40),E35:E40,0))",,,,,,,
"   INDEX returns value from range, MATCH finds position of MAX score",,,,,,,
,,,,,,,
CONDITIONAL FORMATTING INSTRUCTIONS,,,,,,,
,,,,,,,
"To highlight the BEST DEAL row in green:",,,,,,,
"1. Select cells A11:H16",,,,,,,
"2. Home > Conditional Formatting > New Rule",,,,,,,
"3. Select ""Use a formula to determine which cells to format""",,,,,,,
"4. Enter formula: =$F11=MIN($F$11:$F$16)",,,,,,,
"5. Click Format > Fill > Green color > OK",,,,,,,
,,,,,,,
"To color-code prices (green=low, red=high):",,,,,,,
"1. Select B11:B16",,,,,,,
"2. Conditional Formatting > Color Scales > Green-Yellow-Red",,,,,,,
,,,,,,,
"To highlight within-budget items:",,,,,,,
"1. Select F11:F16",,,,,,,
"2. Conditional Formatting > Highlight Cells Rules > Less Than",,,,,,,
"3. Enter your budget amount > Green Fill",,,,,,,
,,,,,,,
PRO SHOPPING TIPS,,,,,,,
"- Always compare total cost (price + shipping), not just product price!",,,,,,,
"- Check ratings, but also read recent reviews",,,,,,,
"- Consider delivery time if you need it urgently",,,,,,,
"- Factor in return policies and warranty",,,,,,,
"- Look for coupon codes before checkout!",,,,,,,
,,,,,,,
"Happy Smart Shopping Aryan! Save money, spend wisely! - Your Excel Shopping Buddy",,,,,,,
